observation_id,location,date_measured,petal_length,petal_width,sepal_length,sepal_width
1,Location1,2024-01-15,1.4,0.2,5.1,3.5
2,Location2,2024-01-22,3.06,0.44,5.78,2.88
3,Location2,2024-01-24,3.15,1.78,5.15,2.3
4,Location1,2024-01-24,1.96,0.63,6.82,4.29
5,Location1,2024-02-15,6.25,0.28,5.44,3.85
6,Location3,2024-01-22,5.73,2.06,4.73,2.06
7,Location2,2024-02-15,2.39,1.6,6.98,3.96
8,Location1,2024-02-15,6.18,2.94,6.07,4.21
9,Location2,2024-01-24,6.44,1.14,8.08,2.63
10,Location1,2024-01-22,3.51,0.12,5.12,3.78
11,Location2,2024-01-22,3.16,0.24,5.2,3.17
12,Location2,2024-03-15,4.28,1.24,6.63,4.42
13,Location1,2024-02-15,3.28,0.33,7.65,3.35
14,Location1,2024-03-15,2.39,0.69,6.69,2.52
15,Location2,2024-01-22,5.63,2.99,6.89,4.44
16,Location1,2024-03-15,3.58,1.26,5.48,2.45
17,Location2,2024-01-22,5.67,1.62,8.36,4.04
18,Location3,2024-01-24,6.28,2.99,7.19,2.1
19,Location3,2024-02-15,1.06,2.2,6.65,4.3
20,Location1,2024-01-22,3.49,0.27,8.22,2.7
21,Location1,2024-01-24,4.53,1.02,5.58,3.0
22,Location2,2024-02-15,2.82,1.24,4.53,2.08
23,Location3,2024-01-24,5.54,0.39,7.12,3.53
24,Location3,2024-01-22,3.4,2.2,5.07,4.1
25,Location2,2024-01-22,4.32,2.16,8.5,2.94
26,Location2,2024-01-22,6.09,1.26,8.69,2.83
27,Location2,2024-01-22,5.05,2.57,8.88,3.84
28,Location3,2024-01-24,1.85,0.61,8.22,4.26
29,Location1,2024-02-15,1.21,2.7,7.46,2.48
30,Location3,2024-01-22,1.99,2.28,4.73,2.72
31,Location1,2024-02-15,4.01,2.55,8.62,4.49
32,Location2,2024-03-15,2.56,0.2,6.39,3.33
33,Location3,2024-01-22,6.98,1.39,5.72,4.25
34,Location2,2024-01-22,2.69,0.65,6.87,4.13
35,Location3,2024-02-15,3.35,2.0,6.28,2.14
36,Location3,2024-02-15,2.48,0.89,7.28,2.27
37,Location2,2024-01-22,2.63,0.18,4.57,3.35
38,Location3,2024-03-15,5.36,1.04,4.26,3.43
39,Location3,2024-02-15,5.47,2.73,6.47,4.3
40,Location1,2024-02-15,1.65,2.68,5.46,3.93
41,Location2,2024-03-15,5.09,1.42,8.87,2.11
